Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Venom: Let There Be Carnage,2021,6.4,"30,443","Action, Adventure, Sci-Fi",97 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
The Simpsons,2007,8.6,"381,626","Animation, Comedy",22 ,Series,TV-PG,731,Moderate,Moderate,Mild,Moderate,Mild
The Amazing Spider-Man,2012,6.9,"583,453","Action, Adventure, Fantasy",136 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Raiders of the Lost Ark,1981,8.4,"919,273","Action, Adventure",115 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
Mr. & Mrs. Smith,2005,6.5,"468,120","Action, Comedy, Crime",120 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
Predestination,2014,7.5,"267,409","Action, Drama, Sci-Fi",97 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Mild
The Bourne Supremacy,2004,7.7,"447,254","Action, Mystery, Thriller",108 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Scary Movie 2,2001,5.3,"155,206",Comedy,83 ,Film,R,-,Severe,Moderate,Severe,Moderate,Mild
Pearl Harbor,2001,6.2,"320,925","Action, Drama, History",183 ,Film,PG-13,-,Mild,Severe,Moderate,Mild,Severe
A Knight's Tale,2001,6.9,"178,789","Action, Adventure, Romance",132 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
Se7en,1995,8.6,"1,522,727","Crime, Drama, Mystery",127 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
Inglourious Basterds,2009,8.3,"1,338,008","Adventure, Drama, War",153 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
